feature,z_score
e0,-0.2599510118712603
e1,-0.30303110700075264
e10,0.05513168300268749
e11,-0.34462311699497705
e12,-0.2510166102726683
e13,2.366743069862877
e14,2.665815967967367
e15,-0.3946325305461206
e16,-0.3669496284279628
e17,-0.34992026490105943
e18,-0.41774374675402565
e19,0.023109115553904415
e2,2.266438792591277
e20,-0.3825561799559731
e21,0.19235648751035858
e22,0.7319514829058357
e23,0.18085179348678654
e24,-0.3268724680162882
e25,0.47330070548457065
e26,-0.40933558798047764
e27,-0.24558011909380414
e28,0.3972996930450383
e29,-0.33999730544403717
e3,-0.3285385838911834
e30,-0.09915950961346405
e31,-0.2883889085597783
e4,-0.12808284222314148
e5,0.10829780074110278
e6,0.7077534154192807
e7,-0.18579875476329566
e8,-0.1911148223145335
e9,-0.20455733747491003
essentiality,-0.18853934143557322
expression,1.0441233636224327
mutation,2.363313184734067
